abundance,pct,reads,sample,Donor,week,tax_name
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces ambofaciens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces coelicolor
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces glaucescens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces griseus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces lividans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces reticuli
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces scabiei
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptosporangium roseum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Microbacterium testaceum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Tropheryma whipplei
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mycoplasma arginini
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mycoplasma synoviae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mycoplasma californicum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Ureaplasma urealyticum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanothermus fervidus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanosarcina barkeri
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanococcoides methylutens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Haloarcula marismortui
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Desulfobacterium autotrophicum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Haliscomenobacter hydrossis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Roseobacter denitrificans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Carnobacterium maltaromaticum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lactobacillus curvatus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Neisseria weaveri
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Francisella philomiragia
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bacteroides ovatus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Arcobacter nitrofigilis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Colwellia psychrerythraea
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Natronococcus occultus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lawsonia intracellularis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mycoplasma canadense
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Calothrix parietina
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Anaerococcus prevotii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Gloeobacter violaceus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Coriobacterium glomerans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rathayibacter tritici
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces avermitilis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Amycolatopsis mediterranei
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acetobacterium woodii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptobacillus moniliformis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paprika mild mottle virus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acholeplasma oculi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Ehrlichia muris
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nocardia farcinica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nocardia nova
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nocardia seriolae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Marichromatium purpuratum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermus scotoductus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sinomonas atrocyanea
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium vitaeruminis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,[Eubacterium] rectale
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Aliivibrio salmonicida
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Xenorhabdus bovienii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thioploca ingrica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sulfolobus islandicus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Jonesia denitrificans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhodococcus equi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cyanothece sp. ATCC 51142
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Desulfovibrio fairfieldensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Natronobacterium gregoryi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Vibrio scophthalmi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Staphylococcus pasteuri
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermoanaerobacter wiegelii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces lydicus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Serratia fonticola
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rubrobacter xylanophilus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Intrasporangium calvum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Xanthomonas axonopodis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lactobacillus lindneri
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Salmonella bongori
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhizobium gallicum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Psychroflexus torquis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptococcus macedonicus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cellulophaga algicola
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cyanobium gracile
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Burkholderia pyrrocinia
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sanguibacter keddieii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acholeplasma brassicae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lelliottia amnigena
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Serratia rubidaea
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acidiphilium multivorum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Shewanella baltica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Desulfurobacterium thermolithotrophum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium ulcerans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Halothece sp. PCC 7418
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces albulus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Staphylococcus condimenti
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Maricaulis maris
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermocrinis ruber
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chitinophaga pinensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Denitrobacterium detoxificans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thioflavicoccus mobilis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Aliivibrio wodanis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acidovorax avenae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermanaerovibrio acidaminovorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanocaldococcus fervens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,gamma proteobacterium HdN1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Myxococcus stipitatus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Parachlamydia acanthamoebae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chlamydia psittaci
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Stenotrophomonas nitritireducens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanobrevibacter ruminantium
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Slackia heliotrinireducens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Beutenbergia cavernae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,[Bacillus] selenitireducens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bartonella tribocorum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,endosymbiont of Acanthamoeba sp. UWC8
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Saccharophagus degradans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium terpenotabidum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pandoraea sputorum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Fervidobacterium pennivorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chloroherpeton thalassium
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Desulfotomaculum gibsoniae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhodococcus pyridinivorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thioalkalivibrio paradoxus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium falsenii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sinorhizobium medicae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Leptolyngbya sp. PCC 7376
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sphingopyxis alaskensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Denitrovibrio acetiphilus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Roseiflexus castenholzii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudarthrobacter sulfonivorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Ureaplasma parvum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bacillus endophyticus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Halorhabdus utahensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Salinibacter ruber
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thioalkalimicrobium cyclicum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudopedobacter saltans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nitrosomonas sp. AL212
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acaryochloris marina
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas parafulva
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas cremoricolorata
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Hahella chejuensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus terrae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sphingomonas wittichii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Anaeromyxobacter dehalogenans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus naphthalenovorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Epinotia aporema granulovirus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Oceanobacillus iheyensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus graminis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus odorifer
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium atypicum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Deferribacter desulfuricans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methylocella silvestris
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Treponema caldarium
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Erwinia sp. Ejp617
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas rhizosphaerae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bifidobacterium longum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Spiroplasma chrysopicola
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Spiroplasma diminutum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Phaeobacter inhibens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Helicobacter sp. MIT 01-6242
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bacteroides cellulosilyticus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Microbulbifer thermotolerans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Owenweeksia hongkongensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Kangiella koreensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methylomicrobium alcaliphilum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,[Clostridium] clariflavum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Photorhabdus asymbiotica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Polaromonas sp. JS666
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Roseburia hominis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Liberibacter americanus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Deinococcus maricopensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Deinococcus deserti
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Croceibacter atlanticus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Polaribacter sp. MED152
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Leadbetterella byssophila
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Staphylococcus phage 2638A
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bacillus infantis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Accumulibacter phosphatis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nitrospira defluvii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Erwinia tasmaniensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Actinoalloteichus hymeniacidonis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Geobacter pickeringii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Micavibrio aeruginosavorus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudarthrobacter phenanthrenivorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus sabinae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Xanthomonas fuscans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Yersinia similis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Gallionella capsiferriformans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Isoptericola dokdonensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lactobacillus backii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Janthinobacterium sp. Marseille
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cyanobacterium aponinum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Ruegeria mobilis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Ruthia magnifica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sulfurovum sp. NBC37-1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Halopiger xanaduensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Staphylococcus phage phiNM
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pontibacter akesuensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Echinicola vietnamensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thioalkalivibrio sp. K90mix
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Riesia pediculicola
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Virgibacillus sp. SK37
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Shewanella piezotolerans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Anaeromyxobacter sp. Fw109-5
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paraburkholderia rhizoxinica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanosarcina horonobensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhizobium sp. IRBG74
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pedobacter steynii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudonocardia sp. AL041005-10
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Niabella soli
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Anaeromyxobacter sp. K
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Steroidobacter denitrificans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Singulisphaera acidiphila
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Ilumatobacter coccineus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pelosinus sp. UFO1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Burkholderia latens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Deinococcus gobiensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Halomonas chromatireducens
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Muricauda lutaonensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pelagibacterium halotolerans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Luteipulveratus mongoliensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Francisella sp. TX077308
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium maris
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Synechococcus sp. KORDI-52
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Alteromonas australica
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Bifidobacterium kashiwanohense
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lactobacillus koreensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Actinoplanes sp. N902-109
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pandoraea faecigallinarum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Arthrobacter alpinus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cryobacterium arcticum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhodococcus sp. WMMA185
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Corynebacterium sp. NML98-0116
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sphingobacterium sp. 21
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Azoarcus sp. KH32C
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Winogradskyella sp. PG-2
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Puniceispirillum marinum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Opitutaceae bacterium TAV5
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces sp. SirexAA-E
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methanobacterium paludis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chryseobacterium sp. StRB126
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mageeibacillus indolicus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Kangiella geojedonensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas brassicacearum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paraburkholderia sprentiae
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Staphylococcus argenteus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Verrucosispora maris
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermoplasmatales archaeon BRNA1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Gullanella endobia
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pantoea rwandensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chromobacterium vaccinii
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Rhizobium sp. NT-26
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Melioribacter roseus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas phage vB_Pae-Kakheti25
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lysinibacillus varians
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Niabella ginsenosidivorans
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Salimicrobium jeotgali
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,endosymbiont of unidentified scaly snail isolate Monju
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Flammeovirgaceae bacterium 311
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas sp. FGI182
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Endolissoclinum faulkneri
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acanthamoeba polyphaga moumouvirus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cyanophage S-RIM32
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas sp. URMO17WK12:I11
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Planktomarina temperata
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Thermodesulfobacterium geofontis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Myxococcus hansupus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,bacterium L21-Spi-D4
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acinetobacter equi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chryseobacterium gallinarum
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Cellulophaga phage phi19:1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Formosa sp. Hel3_A1_48
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Calothrix sp. 336/3
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas sp. JY-Q
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Halobacterium hubeiense
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Marinobacter similis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Thioglobus singularis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Mycobacterium phage Donovan
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Sediminicola sp. YIK13
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Aureococcus anophagefferens virus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas phage vB_PaeS_SCH_Ab26
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Methylobacterium sp. C1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Hymenobacter sp. PAMC 26628
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Arthrobacter sp. PAMC 25486
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Jeotgalibacillus malaysiensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Coriobacteriaceae bacterium 68-1-3
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces sp. CCM_MD2014
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Wenzhouxiangella marina
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Methylopumilus planktonicus
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Lentzea sp. DHS C013
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Helicobacter himalayensis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Confluentimicrobium sp. EMB200-NS6
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Verrucomicrobia bacterium L21-Fru-AB
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas sp. MRSN12121
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Paenibacillus bovis
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Geminocystis sp. NIES-3709
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Petrimonas mucosa
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces sp. CFMR 7
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Propionibacterium phage MrAK
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Arsenicicoccus sp. oral taxon 190
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas sp. GR 6-02
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Magnetospirillum sp. XM-1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Chryseobacterium sp. IHB B 10212
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Propionibacterium phage PAC1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Oblitimonas alkaliphila
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Candidatus Nitrospira inopinata
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Desulfovibrio sp. J2
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptomyces sp. CdTB01
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Algoriphagus sp. M8-2
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Devosia sp. A16
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Burkholderia sp. Bp5365
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Nostoc sp. NIES-3756
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Caulobacteraceae bacterium OTSz_A_272
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Streptococcus sp. A12
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Flavobacterium sp. LPB0076
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Microbulbifer sp. CCB-MM1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Polaribacter vadi
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Pseudomonas phage vB_PsyM_KIL1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Myotis gammaherpesvirus 8
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Acinetobacter sp. BRTC-1
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Frondihabitans sp. PAMC 28766
0,1.08E-06,1,GW_wk2.fa,Donor 1,week 2,Arthrobacter sp. ZXY-2
