abundance,pct,reads,sample,sample,tax_name,tool
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Enterobacteria phage VT2-Sakai,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Burkholderia ubonensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Thioalkalivibrio versutus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Sinorhizobium medicae,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Idiomarina loihiensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Anguillid herpesvirus 1,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Burkholderia dolosa,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Bacillus toyonensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,[Mannheimia] succiniciproducens,centrifuge
0,4.81E-06,6,E. coli - S. sonnei,99.9/0.1,Hahella chejuensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Collimonas fungivorans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Acidithiobacillus ferrivorans,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Laribacter hongkongensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Emiliania huxleyi virus 86,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Thermodesulfobium narugense,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Shewanella denitrificans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Dickeya dadantii,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Thermovibrio ammonificans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Acidovorax sp. JS42,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Desulfitobacterium dichloroeliminans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Chlorobaculum parvum,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Collimonas pratensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Anoxybacillus amylolyticus,centrifuge
0,2.41E-06,3,E. coli - S. sonnei,99.9/0.1,Pseudomonas entomophila,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Alteromonas mediterranea,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Coxiella endosymbiont of Amblyomma americanum,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Solibacter usitatus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Burkholderia oklahomensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Xenorhabdus doucetiae,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Acidovorax sp. KKS102,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Verminephrobacter eiseniae,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Sulfurospirillum cavolei,centrifuge
0,2.41E-06,3,E. coli - S. sonnei,99.9/0.1,Yersinia similis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Rivularia sp. PCC 7116,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Janthinobacterium sp. Marseille,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Natranaerobius thermophilus,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Bacteroides salanitronis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Coraliomargarita akajimensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Cyanothece sp. PCC 7425,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pontibacter korlensis,centrifuge
0,4.01E-06,5,E. coli - S. sonnei,99.9/0.1,Paraburkholderia rhizoxinica,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pseudoxanthomonas spadix,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Desulfurivibrio alkaliphilus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Streptomyces sp. CNQ-509,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Dyella thiooxydans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Simiduia agarivorans,centrifuge
0,2.41E-06,3,E. coli - S. sonnei,99.9/0.1,Desulfarculus baarsii,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pelosinus sp. UFO1,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Oceanimonas sp. GK1,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Photorhabdus temperata,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pseudomonas chlororaphis,centrifuge
0,5.61E-06,7,E. coli - S. sonnei,99.9/0.1,Alteromonas australica,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Bifidobacterium kashiwanohense,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Hoyosella subflava,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Tannerella sp. oral taxon HOT-286,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Alteromonas naphthalenivorans,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Methylophaga nitratireducenticrescens,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Thermincola potens,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Cupriavidus sp. USMAA2-4,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Desulfosporosinus acidiphilus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Sandaracinus amylolyticus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Lacinutrix sp. 5H-3-7-4,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Glaciecola sp. 4H-3-7+YE-5,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pusillimonas sp. T7-7,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Gullanella endobia,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Dickeya solani,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Enterobacteria phage mEp460,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pectobacterium sp. SCC3193,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Mesotoga prima,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Gilliamella apicola,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Pseudomonas sp. UW4,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Candidatus Pantoea carbekii,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Janthinobacterium sp. B9-8,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Frischella perrara,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Bradyrhizobium icense,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Magnetospira sp. QH-2,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Mucilaginibacter sp. PAMC 26640,centrifuge
0,3.21E-06,4,E. coli - S. sonnei,99.9/0.1,Candidatus Tachikawaea gelatinosa,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Streptomyces leeuwenhoekii,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Ectothiorhodospira sp. BSL-9,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Escherichia phage phi191,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Candidatus Sodalis pierantonius,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Evansia muelleri,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Paenibacillus sp. FSL R7-0273,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Edwardsiella sp. EA181011,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Desulfuromonas soudanensis,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pseudonocardia sp. HH130629-09,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Janthinobacterium sp. 1_2014MBL_MicDiv,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Salmonella phage SEN22,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Rhizobium sp. N324,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Xiphinematobacter sp. Idaho Grape,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Kurthia sp. 11kri321,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Doolittlea endobia,centrifuge
0,7.22E-06,9,E. coli - S. sonnei,99.9/0.1,Candidatus Hoaglandella endobia,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Candidatus Mikella endobia,centrifuge
0,1.60E-06,2,E. coli - S. sonnei,99.9/0.1,Pseudomonas sp. L10.10,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Acinetobacter sp. BRTC-1,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Colwellia sp. PAMC 20917,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Edwardsiella anguillarum,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Sphingobium sp. RAC03,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Stenotrophomonas sp. LM091,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Pectobacterium parmentieri,centrifuge
0,8.02E-07,1,E. coli - S. sonnei,99.9/0.1,Hyphomonas sp. Mor2,centrifuge
0,2.41E-06,3,E. coli - S. sonnei,99.9/0.1,Jeongeupia sp. USM3,centrifuge
0.850382,0.993467685,1428079,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus pyogenes,centrifuge
0.148131,0.000279658,402,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus phage T12,centrifuge
0.000795209,0.003958346,5690,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus dysgalactiae,centrifuge
0.000588394,0.00080767,1161,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus saprophyticus,centrifuge
2.13E-05,5.98E-05,86,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus pneumoniae,centrifuge
1.77E-05,5.98E-05,86,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus suis,centrifuge
1.13E-05,0.000347834,500,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus agalactiae,centrifuge
9.05E-06,0.000139133,200,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus equi,centrifuge
6.58E-06,2.30E-05,33,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus intermedius,centrifuge
3.49E-06,7.65E-06,11,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus uberis,centrifuge
3.37E-06,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus sp. oral taxon 431,centrifuge
3.27E-06,4.87E-06,7,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus lutetiensis,centrifuge
3.24E-06,2.43E-05,35,S. saprophyticus - S. pyogenes,0.1/99.9,Solibacillus silvestris,centrifuge
2.96E-06,1.53E-05,22,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus halotolerans,centrifuge
2.39E-06,1.39E-05,20,S. saprophyticus - S. pyogenes,0.1/99.9,Lactococcus lactis,centrifuge
2.32E-06,1.74E-05,25,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus aureus,centrifuge
2.22E-06,2.78E-06,4,S. saprophyticus - S. pyogenes,0.1/99.9,Enterococcus hirae,centrifuge
2.12E-06,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus casei,centrifuge
1.96E-06,3.48E-06,5,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus epidermidis,centrifuge
1.94E-06,7.65E-06,11,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus gordonii,centrifuge
1.77E-06,3.55E-05,51,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus salivarius,centrifuge
1.55E-06,7.65E-06,11,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus equorum,centrifuge
9.86E-07,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Nocardiopsis dassonvillei,centrifuge
7.29E-07,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,synthetic construct,centrifuge
2.39E-08,0.000111307,160,S. saprophyticus - S. pyogenes,0.1/99.9,Homo sapiens,centrifuge
1.31E-11,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus sp. AntiMn-1,centrifuge
2.45E-13,7.65E-06,11,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus marmotae,centrifuge
1.85E-13,1.32E-05,19,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus anginosus,centrifuge
1.07E-13,4.17E-06,6,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus mutans,centrifuge
3.73E-16,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Synechococcus sp. WH 8102,centrifuge
3.17E-16,6.96E-06,10,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus mitis,centrifuge
8.88E-18,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus sp. FJAT-14266,centrifuge
1.61E-18,4.80E-05,69,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus phage phi3396,centrifuge
5.48E-30,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus pumilus,centrifuge
1.83E-36,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus phage A25,centrifuge
1.89E-38,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus warneri,centrifuge
1.82E-39,6.26E-06,9,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus xylosus,centrifuge
1.12E-40,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus phage P9,centrifuge
3.24E-44,1.67E-05,24,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus constellatus,centrifuge
1.01E-53,1.81E-05,26,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus iniae,centrifuge
9.22E-56,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus macedonicus,centrifuge
5.17E-56,2.02E-05,29,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus parauberis,centrifuge
5.23E-59,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus himalayensis,centrifuge
1.42E-59,1.25E-05,18,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus gallolyticus,centrifuge
5.23E-60,4.17E-06,6,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus infantarius,centrifuge
1.60E-61,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus oralis,centrifuge
1.52E-61,4.17E-06,6,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus pasteurianus,centrifuge
1.29E-61,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus sanguinis,centrifuge
1.12E-61,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus sp. I-G2,centrifuge
3.79E-62,6.26E-06,9,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus cristatus,centrifuge
1.64E-62,3.48E-06,5,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus pantholopis,centrifuge
3.82E-65,6.96E-06,10,S. saprophyticus - S. pyogenes,0.1/99.9,Streptococcus thermophilus,centrifuge
2.38E-92,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Aerococcus urinaehominis,centrifuge
1.05E-92,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Neisseria meningitidis,centrifuge
9.74E-95,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Enterococcus faecalis,centrifuge
3.39E-95,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Lactococcus piscium,centrifuge
9.34E-98,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Streptobacillus moniliformis,centrifuge
2.16E-98,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Enterococcus mundtii,centrifuge
1.08E-98,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Enterococcus casseliflavus,centrifuge
4.95E-102,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus pasteuri,centrifuge
3.33E-102,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Haemophilus influenzae,centrifuge
4.05E-103,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Fusobacterium nucleatum,centrifuge
2.05E-103,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Enterococcus faecium,centrifuge
1.26E-103,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Alkaliphilus oremlandii,centrifuge
1.87E-104,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Rummeliibacillus stabekisii,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Leptospira biflexa,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Campylobacter fetus,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Campylobacter jejuni,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Helicobacter pylori,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Francisella tularensis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Meiothermus ruber,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Pseudomonas fluorescens,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Ralstonia pickettii,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Xanthomonas oryzae,centrifuge
0,4.17E-06,6,S. saprophyticus - S. pyogenes,0.1/99.9,Escherichia coli,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Yersinia enterocolitica,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Aeromonas media,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Vibrio parahaemolyticus,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Actinobacillus equuli,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,[Haemophilus] ducreyi,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Pasteurella multocida,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Desulfovibrio vulgaris,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Nitrosomonas europaea,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Halothiobacillus neapolitanus,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Cytophaga hutchinsonii,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Flavobacterium johnsoniae,centrifuge
0,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Flavobacterium columnare,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Halorhodospira halophila,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Microcystis aeruginosa,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Trichodesmium erythraeum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Staphylococcus schleiferi,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Aerococcus urinae,centrifuge
0,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus amyloliquefaciens,centrifuge
0,1.04E-05,15,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus anthracis,centrifuge
0,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus cereus,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus coagulans,centrifuge
0,6.26E-06,9,S. saprophyticus - S. pyogenes,0.1/99.9,Paenibacillus polymyxa,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus sp.,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus cellulosilyticus,centrifuge
0,7.65E-06,11,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus subtilis,centrifuge
0,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus thuringiensis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Bacillus atrophaeus,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Brevibacillus laterosporus,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium acetobutylicum,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium botulinum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium cellulovorans,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Ruminiclostridium thermocellum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Thermoanaerobacterium thermosaccharolyticum,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium tyrobutyricum,centrifuge
0,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium beijerinckii,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Clostridium scatologenes,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Gottschalkia acidurici,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Desulfotomaculum nigrificans,centrifuge
0,6.96E-06,10,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus delbrueckii,centrifuge
0,3.27E-05,47,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus plantarum,centrifuge
0,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus reuteri,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus acetotolerans,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus ruminis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus salivarius,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus sanfranciscensis,centrifuge
0,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Listeria monocytogenes,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Peptoclostridium acidaminophilum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Propionibacterium freudenreichii,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Tropheryma whipplei,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Sphaerobacter thermophilus,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Mycoplasma agalactiae,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Spiroplasma apis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Hirschia baltica,centrifuge
0,2.78E-06,4,S. saprophyticus - S. pyogenes,0.1/99.9,Symbiobacterium thermophilum,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Carnobacterium maltaromaticum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Bifidobacterium animalis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Francisella philomiragia,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Thermodesulfovibrio yellowstonii,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Salmonella enterica,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Cellulosilyticum lentocellum,centrifuge
0,3.48E-06,5,S. saprophyticus - S. pyogenes,0.1/99.9,Taylorella equigenitalis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Parvimonas micra,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Geobacillus thermodenitrificans,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Geobacillus thermoleovorans,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Kyrpidia tusciae,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Melissococcus plutonius,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Acholeplasma oculi,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Heliobacterium modesticaldum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Methanosalsum zhilinae,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Dialister pneumosintes,centrifuge
0,5.57E-06,8,S. saprophyticus - S. pyogenes,0.1/99.9,Halobacteroides halobius,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Thermosipho melanesiensis,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Streptomyces lydicus,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Pediococcus damnosus,centrifuge
0,1.39E-06,2,S. saprophyticus - S. pyogenes,0.1/99.9,Tetragenococcus halophilus,centrifuge
0,2.09E-06,3,S. saprophyticus - S. pyogenes,0.1/99.9,Lactobacillus gallinarum,centrifuge
0,6.96E-07,1,S. saprophyticus - S. pyogenes,0.1/99.9,Flavobacterium branchiophilum,centrifuge
